ID	COMPOUND_ID	SPECIES_TEXT	SPECIES_ACCESSION	COMPONENT_TEXT	COMPONENT_ACCESSION	STRAIN_TEXT	STRAIN_ACCESSION	SOURCE_TYPE	SOURCE_ACCESSION	COMMENTS
12386	17015	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	Article	Geigy Scientific Tables, 8th Rev edition, pp. 165-177. Edited by C. Lentner, West Cadwell, N.J.: Medical education Div., Ciba-Geigy Corp., Basel, Switzerland c1981-1992.	null
12387	17015	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Sugimoto et al. (2013) Physiological and environmental parameters associated with mass spectrometry-based salivary metabolomic profiles. 	null
12388	88961	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	20671299	null
12396	88962	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	20671299	null
12398	88963	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	20671299	null
12407	17616	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	17009166	null
12414	88964	Homo sapiens	NCBI:txid9606	faeces	UBERON:0001988	null	null	PubMed Id	23454028	null
12415	88965	Homo sapiens	NCBI:txid9606	faeces	UBERON:0001988	null	null	PubMed Id	23454028	null
12416	88966	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	20671299	null
12417	88967	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	20671299	null
12418	88968	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	20671299	null
